3435,,,9,1.014851485,371750,Macedon Ranges (S),-37.19,144.69,1,1,1,1,4,8
3437,7,642,9,1.084892086,586622.6415,Macedon Ranges (S),-37.52,144.48,2,1,1,2,5,9
3438,,,10,0.98019802,543250,Macedon Ranges (S),-37.46,144.6,2,1,1,0,0,0
3440,,,10,1.162790698,587575,Macedon Ranges (S),-37.4,144.59,1,1,1,1,4,8
3441,,,9,1.268292683,783125,Macedon Ranges (S),-37.4,144.59,2,1,1,0,4,8
3442,,,5,1.064761905,457409.5588,Macedon Ranges (S),-37.39,144.45,2,2,1,0,0,0
3658,3,158,7,0.995098039,290625,Mitchell (S),-37.2,145.05,2,1,1,1,4,8
3750,2,99,6,21.71428571,465221.6543,Whittlesea (C),-38.38,144.81,2,2,1,5,11,19
3751,,,8,0.653846154,,Whittlesea (C),-37.69,144.89,2,2,2,3,3,3
3752,,,8,1.173641474,477734.9188,Whittlesea (C),-37.65,145.1,2,1,1,2,5,9
3753,,,9,2.219178082,432875,Whittlesea (C),-37.47,145,2,1,1,2,8,16
3754,,,8,2.198675497,464289.8221,Whittlesea (C),-37.62,145.15,2,1,1,35,38,42
3755,,,7,0.375,,Whittlesea (C),-37.57,145.14,2,2,1,0,0,0
3756,,,7,1.075376884,353431.6176,Mitchell (S),-37.4,144.8,2,1,1,1,4,8
3757,6,406,7,1.148211244,314522.0588,Whittlesea (C),-37.45,145.11,1,1,1,2,5,9
3758,,,9,0.784530387,,Mitchell (S),-37.38,145.03,2,1,1,0,0,0
3759,,,9,0.658536585,,Nillumbik (S),-37.64,145.24,2,2,1,0,0,0
3760,,,9,0.555555556,,Nillumbik (S),-37.62,145.29,2,1,1,0,0,0
3761,,,6,0.759259259,,Nillumbik (S),0,0,2,1,1,1,4,8
3762,,,,,,Macedon Ranges (S),0,0,2,1,1,0,0,0
3763,,,6,0.801652893,348000,Murrindindi (S),-37.48,145.28,2,2,1,1,4,0
3765,,,9,0.886993603,606189.2857,Yarra Ranges (S),-37.81,145.34,2,2,1,3,7,11
3766,,,9,1.136986301,560875,Yarra Ranges (S),-37.82,145.37,2,2,1,1,4,0
3767,,,8,0.724137931,656875,Yarra Ranges (S),-37.84,145.36,2,1,1,0,0,8
3770,2,60,8,1.031390135,519375,Yarra Ranges (S),-37.72,145.38,2,1,1,0,4,8
3775,,,5,1.107883817,537946.4286,Yarra Ranges (S),-37.65,145.32,2,2,1,0,0,0
3777,,,5,1.001464129,398184.7458,Yarra Ranges (S),-37.69,145.54,2,2,2,0,0,0
3781,,,8,0.887096774,414925,Cardinia (S),-37.94,145.49,2,1,1,5,5,13
3782,6,269,7,0.945518453,480825,Cardinia (S),-37.92,145.47,2,1,1,3,3,3
3783,,,10,0.977272727,505500,Cardinia (S),-37.95,145.55,2,1,1,1,4,8
3785,,,,,,Yarra Ranges (S),-38.27,144.49,1,1,1,0,0,0
3786,,,10,0.92920354,702500,Yarra Ranges (S),-37.88,145.34,2,1,1,1,1,1
3787,,,9,1.157142857,641900,Yarra Ranges (S),-37.88,145.37,2,1,1,0,0,0
3788,,,9,0.818181818,642200,Yarra Ranges (S),-37.86,145.36,2,1,1,1,4,8
3789,,,9,1.142857143,,Yarra Ranges (S),-37.88,145.36,2,1,1,0,0,0
3791,,,9,0.940594059,572875,Yarra Ranges (S),-37.9,145.41,2,1,1,4,10,18
3792,,,7,1.231884058,568325,Yarra Ranges (S),-37.89,145.39,2,1,1,2,2,2
3793,,,8,1.128630705,516475,Yarra Ranges (S),-37.87,145.41,2,1,1,2,8,16
3795,,,8,0.652892562,,Yarra Ranges (S),-37.84,145.41,2,1,1,0,0,0
3796,,,4,0.821744627,541304.5302,Yarra Ranges (S),-37.79,145.38,2,2,1,4,10,18
3797,,,2,0.765873016,327850,Yarra Ranges (S),-37.86,145.71,3,2,2,0,0,0
3799,,,6,0.868852459,380025,Yarra Ranges (S),-37.76,145.75,2,2,1,1,4,8
3800,,,,0,,Monash (C),-37.91,145.13,2,1,1,1,1,1
3802,,,3,0.873161765,542026.9231,Casey (C),-37.98,145.25,2,1,1,4,10,18
3803,3,129,10,0.940828402,431201.6667,Casey (C),-38,145.27,2,1,1,1,1,1
3804,,,7,1.015306122,790625,Casey (C),-37.97,145.36,2,1,1,0,0,0
3805,32,1905,9,0.916216216,467848.4375,Casey (C),-38.02,145.3,1,1,1,3,9,17
3806,32,2597,9,0.996507254,563323.4995,Casey (C),-38.03,145.34,2,1,1,1,1,1
3807,7,480,10,0.918367347,571248.5169,Cardinia (S),-38.05,145.37,2,2,2,0,0,0
3808,,,9,1.133603239,696500,Cardinia (S),-38,145.41,1,1,1,0,0,0
3809,11,504,5,3.112582781,391325,Cardinia (S),-38.06,145.41,2,1,1,2,8,16
3810,31,2565,8,1.361016949,387525.832,Cardinia (S),-38.08,145.49,2,1,1,3,9,17
3812,,,7,0.78680203,440625,Cardinia (S),-38.04,145.61,2,1,1,0,0,0
3813,,,6,0.91954023,,Cardinia (S),-38.09,145.63,2,1,1,0,0,0
3814,,,6,0.993975904,367526.3889,Cardinia (S),-38.15,145.61,1,1,1,1,4,16
